sn,cn,givenname,mail,title,ou,kumcPersonJobcode,kumcPersonFaculty,trainedThru
Smith,john.smith,John,john.smith@js.example,Chair of Neurology,Neurology,1234,Y,2012-01-01
Student,bill.student,Bill,bill.student@js.example,Student,Undergrad,0,N,
Student,carol.student,Carol,carol.student@js.example,Student,Undergrad,,,
One,some.one,Some,some.one@js.example,,,0,N,2012-01-01
Wig,big.wig,Big,big.wig@js.example,Big Wig,Important People,0,N,2012-01-01
Student,jill.student,jill,jill.student@js.example,Student — extrodinaire,Undergrad,0,N,2020-01-01
Koam,koam.rin,Rin,,Student,Undergrad,0,N,
Maker,trouble.maker,Trouble,tmaker@not.js.example,Trouble1956,Somewhere,0,Y,2020-01-01
User,act.user,Act,act.user@js.example,Student,Undergrad,0,N,2020-01-01
ryan,todd.ryan,todd,,Chair of Emailing,theInternet,1234,Y,2012-01-01
